"Sie haben folgende Auswahl für die Qualitätsdaten-Abfrage getroffen"
"Messstellentyp: Isotopen"

"Messstellen"
"Anzahl Messstellen: 24"
"Messstellen: IN70000007 Sillian, IN70000008 St. Jakob / Defreggen, IN70000053 Hochfilzen, IN70000056 Kufstein, IN70000057 Pertisau, "
"IN70000058 Achenkirch, IN70000059 Steinberg / Rofan, IN70000060 Hinterriß, IN70000061 Scharnitz, IN70000062 Seefeld / Tirol, "
"IN70000063 Gries / Brenner, IN70000064 Patscherkofel, IN70000065 Innsbruck (Universität), IN70000066 St.Martin / Gnadenwald, "
"IN70000067 Gerlos, IN70000068 Obergurgl, IN70000069 Längenfeld, IN70000070 Haiming, IN70000071 Fernpaß, IN70000072 Reutte, "
"IN70000074 Nauders, IN70000075 St.Anton / Arlberg, IN70000088 Nassereith, IN70000089 Innsbruck / Flughafen"
"Übergebene Messstellen, die in der Detailansicht nicht angezeigt werden sind im untersuchten Zeitraum nicht beprobt worden!"

"Parameter"
"Parameter: I100 Lfd. Nummer, I101 Probenahme-Beginn TT-MM-JJJJ, I102 Probenahme-(Ende) TT-MM-JJJJ, I103 Flaschengewicht g, "
"I104 Niederschlag - Monatssumme (mm), I105 Laborcode - Niederschlag I104, I106 Niederschlag - Art, I107 Lufttemperatur - Monatsmittel (°C), "
"I108 Laborcode - Lufttemperatur I107, I109 potentielle Verdunstung - Monatssumme (mm), I110 Laborcode - pot. Verdunstung I110, "
"I111 Pegelstand cm, I112 Durchfluss m³/s, I114 Delta 18O (? VSMOW), I115 Messgenauigkeit Delta 18O (?), I116 Laborcode - 18O I114, "
"I117 Delta  2H (? VSMOW), I118 Messgenauigkeit Delta 2H (?), I119 Laborcode - Deuterium I117, I120 Tritium - 3H (TE), "
"I121 Messgenauigkeit Tritium 3H, I122 Laborcode - Tritium I120, I123 freies Luftvolumen (ml) bis 2003"

"Zeitraum der Abfrage"
"Januar 1990 bis Dezember 2024"
"Probenzuordnung: GZÜV, Land"

"Definition der Ausgabe"
"Parameter werden in Spalten angezeigt."
"Leere Ergebniszeilen werden gelöscht."
"Zu Messobjekten anzeigen: GZÜV-ID, Name, Gemeinde, Höhe Messpunkt"
"Zu Parametern anzeigen: Parameter Nummer, Vollständige Bezeichnung"
"Format von Dezimalzahlen: Dezimalpunkt (.)"

"Abfrage durchgeführt durch Öffentlicher Benutzer am Mittwoch, 3. Juli 2024 um 13:37"

------------------------------------------------------------------------------------------------------------------------------------------------------

GZÜV-ID;Name;Gemeindename;Höhe Messpunkt;Monat;I100;I101;I102;I103;I104;I105;I106;I107;I108;I109;I110;I111;I112;I114;I115;I116;I117;I118;I119;I120;I121;I122;I123;
"IN70000007";"Sillian";"Sillian";"1075";"Mai 1996";"";"01.05.1996";"31.05.1996";"";"109";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"-9.69";"";"Seibersdorf Research-Arsenal";"";"";"";"13.3";"0.7";"Seibersdorf Research-Arsenal";"10";
"IN70000007";"Sillian";"Sillian";"1075";"Jun 1996";"";"01.06.1996";"30.06.1996";"";"90";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"-6.07";"";"Seibersdorf Research-Arsenal";"";"";"";"21.4";"1";"Seibersdorf Research-Arsenal";"5";
"IN70000007";"Sillian";"Sillian";"1075";"Jul 1996";"";"01.07.1996";"31.07.1996";"";"135";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"-6.65";"";"Seibersdorf Research-Arsenal";"";"";"";"14.2";"0.8";"Seibersdorf Research-Arsenal";"15";
"IN70000007";"Sillian";"Sillian";"1075";"Aug 1996";"";"01.08.1996";"31.08.1996";"";"113";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"-8.24";"";"Seibersdorf Research-Arsenal";"";"";"";"14.2";"0.8";"Seibersdorf Research-Arsenal";"5";
"IN70000007";"Sillian";"Sillian";"1075";"Sep 1996";"";"01.09.1996";"30.09.1996";"";"45";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"-13.38";"";"Seibersdorf Research-Arsenal";"";"";"";"10.3";"0.6";"Seibersdorf Research-Arsenal";"5";
"IN70000007";"Sillian";"Sillian";"1075";"Okt 1996";"";"01.10.1996";"31.10.1996";"";"202";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"-11.18";"";"Seibersdorf Research-Arsenal";"";"";"";"7";"0.5";"Seibersdorf Research-Arsenal";"5";
"IN70000007";"Sillian";"Sillian";"1075";"Nov 1996";"";"01.11.1996";"30.11.1996";"";"167";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"-12.7";"";"Seibersdorf Research-Arsenal";"";"";"";"4.9";"0.4";"Seibersdorf Research-Arsenal";"5";
"IN70000007";"Sillian";"Sillian";"1075";"Dez 1996";"";"01.12.1996";"31.12.1996";"";"28";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"-20.57";"";"Seibersdorf Research-Arsenal";"";"";"";"5.6";"0.4";"Seibersdorf Research-Arsenal";"5";
"IN70000007";"Sillian";"Sillian";"1075";"Jan 1997";"";"01.01.1997";"31.01.1997";"";"33";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"-13.73";"";"Seibersdorf Research-Arsenal";"";"";"";"6.3";"0.4";"Seibersdorf Research-Arsenal";"5";
"IN70000007";"Sillian";"Sillian";"1075";"Feb 1997";"";"01.02.1997";"28.02.1997";"";"8";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"-10.27";"";"Seibersdorf Research-Arsenal";"";"";"";"9.3";"0.6";"Seibersdorf Research-Arsenal";"650";
"IN70000007";"Sillian";"Sillian";"1075";"Mär 1997";"";"01.03.1997";"31.03.1997";"";"29";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"-12.59";"";"Seibersdorf Research-Arsenal";"";"";"";"17.3";"0.8";"Seibersdorf Research-Arsenal";"5";
"IN70000007";"Sillian";"Sillian";"1075";"Apr 1997";"";"01.04.1997";"30.04.1997";"";"53";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"-13.7";"";"Seibersdorf Research-Arsenal";"";"";"";"11.6";"0.6";"Seibersdorf Research-Arsenal";"5";
"IN70000007";"Sillian";"Sillian";"1075";"Mai 1997";"";"01.05.1997";"31.05.1997";"";"74";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"-8.44";"";"Seibersdorf Research-Arsenal";"";"";"";"13";"0.8";"Seibersdorf Research-Arsenal";"5";
"IN70000007";"Sillian";"Sillian";"1075";"Jun 1997";"";"01.06.1997";"30.06.1997";"";"203";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"-6.68";"";"Seibersdorf Research-Arsenal";"";"";"";"13.9";"1.1";"Seibersdorf Research-Arsenal";"5";
"IN70000007";"Sillian";"Sillian";"1075";"Jul 1997";"";"01.07.1997";"31.07.1997";"";"129";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"-6.28";"";"Seibersdorf Research-Arsenal";"";"";"";"15.8";"1.2";"Seibersdorf Research-Arsenal";"5";
"IN70000007";"Sillian";"Sillian";"1075";"Aug 1997";"";"01.08.1997";"31.08.1997";"";"74";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"-5.41";"";"Seibersdorf Research-Arsenal";"";"";"";"14.8";"0.7";"Seibersdorf Research-Arsenal";"5";
"IN70000007";"Sillian";"Sillian";"1075";"Sep 1997";"";"01.09.1997";"30.09.1997";"";"71";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"-6.34";"";"Seibersdorf Research-Arsenal";"";"";"";"12.5";"0.6";"Seibersdorf Research-Arsenal";"5";
"IN70000007";"Sillian";"Sillian";"1075";"Okt 1997";"";"01.10.1997";"31.10.1997";"";"11";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"-5.85";"";"Seibersdorf Research-Arsenal";"";"";"";"10.1";"0.6";"Seibersdorf Research-Arsenal";"450";
"IN70000007";"Sillian";"Sillian";"1075";"Nov 1997";"";"01.11.1997";"30.11.1997";"";"139";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"-14.96";"";"Seibersdorf Research-Arsenal";"";"";"";"4.4";"0.3";"Seibersdorf Research-Arsenal";"5";
"IN70000007";"Sillian";"Sillian";"1075";"Dez 1997";"";"01.12.1997";"31.12.1997";"";"60";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"-17.45";"";"Seibersdorf Research-Arsenal";"";"";"";"6.3";"0.5";"Seibersdorf Research-Arsenal";"15";
"IN70000007";"Sillian";"Sillian";"1075";"Jan 1998";"";"01.01.1998";"31.01.1998";"";"12";"Hydrograph. Dienst";"";"-3.2";"Hydrograph. Dienst";"";"";"";"";"-17.78";"";"Seibersdorf Research-Arsenal";"";"";"";"5.9";"0.4";"Seibersdorf Research-Arsenal";"450";
"IN70000007";"Sillian";"Sillian";"1075";"Feb 1998";"";"01.02.1998";"28.02.1998";"";"7";"Hydrograph. Dienst";"";"0.2";"Hydrograph. Dienst";"";"";"";"";"-12.26";"";"Seibersdorf Research-Arsenal";"";"";"";"10.8";"0.8";"Seibersdorf Research-Arsenal";"700";
"IN70000007";"Sillian";"Sillian";"1075";"Mär 1998";"";"01.03.1998";"31.03.1998";"";"5";"Hydrograph. Dienst";"";"1.8";"Hydrograph. Dienst";"";"";"";"";"-11.01";"";"Seibersdorf Research-Arsenal";"";"";"";"5.6";"0.5";"Seibersdorf Research-Arsenal";"800";
"IN70000007";"Sillian";"Sillian";"1075";"Apr 1998";"";"01.04.1998";"30.04.1998";"";"140";"Hydrograph. Dienst";"";"5";"Hydrograph. Dienst";"";"";"";"";"-13.45";"";"Seibersdorf Research-Arsenal";"";"";"";"9.3";"0.5";"Seibersdorf Research-Arsenal";"5";
"IN70000007";"Sillian";"Sillian";"1075";"Mai 1998";"";"01.05.1998";"31.05.1998";"";"43";"Hydrograph. Dienst";"";"11";"Hydrograph. Dienst";"";"";"";"";"-8.42";"";"Seibersdorf Research-Arsenal";"";"";"";"17.3";"0.9";"Seibersdorf Research-Arsenal";"5";
"IN70000007";"Sillian";"Sillian";"1075";"Jun 1998";"";"01.06.1998";"30.06.1998";"";"210";"Hydrograph. Dienst";"";"14.6";"Hydrograph. Dienst";"";"";"";"";"-6.73";"";"Seibersdorf Research-Arsenal";"";"";"";"14.6";"0.7";"Seibersdorf Research-Arsenal";"5";
"IN70000007";"Sillian";"Sillian";"1075";"Jul 1998";"";"01.07.1998";"31.07.1998";"";"170";"Hydrograph. Dienst";"";"16.3";"Hydrograph. Dienst";"";"";"";"";"-5.8";"";"Seibersdorf Research-Arsenal";"";"";"";"13.5";"0.6";"Seibersdorf Research-Arsenal";"5";
"IN70000007";"Sillian";"Sillian";"1075";"Aug 1998";"";"01.08.1998";"31.08.1998";"";"92";"Hydrograph. Dienst";"";"15.8";"Hydrograph. Dienst";"";"";"";"";"-5.34";"";"Seibersdorf Research-Arsenal";"";"";"";"18.8";"1";"Seibersdorf Research-Arsenal";"15";
"IN70000007";"Sillian";"Sillian";"1075";"Sep 1998";"";"01.09.1998";"30.09.1998";"";"154";"Hydrograph. Dienst";"";"10.5";"Hydrograph. Dienst";"";"";"";"";"-11.79";"";"Seibersdorf Research-Arsenal";"";"";"";"8.3";"0.5";"Seibersdorf Research-Arsenal";"5";
"IN70000007";"Sillian";"Sillian";"1075";"Okt 1998";"";"01.10.1998";"31.10.1998";"";"190";"Hydrograph. Dienst";"";"6.2";"Hydrograph. Dienst";"";"";"";"";"-12.96";"";"Seibersdorf Research-Arsenal";"";"";"";"4.6";"0.2";"Seibersdorf Research-Arsenal";"25";
"IN70000007";"Sillian";"Sillian";"1075";"Nov 1998";"";"01.11.1998";"30.11.1998";"";"28";"Hydrograph. Dienst";"";"-1.6";"Hydrograph. Dienst";"";"";"";"";"-12.12";"";"Seibersdorf Research-Arsenal";"";"";"";"7.4";"0.4";"Seibersdorf Research-Arsenal";"5";
"IN70000007";"Sillian";"Sillian";"1075";"Dez 1998";"";"01.12.1998";"31.12.1998";"";"7";"Hydrograph. Dienst";"";"-5.2";"Hydrograph. Dienst";"";"";"";"";"-17.01";"";"Seibersdorf Research-Arsenal";"";"";"";"5.9";"0.5";"Seibersdorf Research-Arsenal";"700";
"IN70000007";"Sillian";"Sillian";"1075";"Jan 1999";"";"01.01.1999";"31.01.1999";"";"45";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"-17.8";"";"Seibersdorf Research-Arsenal";"";"";"";"7";"0.4";"Seibersdorf Research-Arsenal";"5";
"IN70000007";"Sillian";"Sillian";"1075";"Feb 1999";"";"01.02.1999";"28.02.1999";"";"18";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"-21.01";"";"Seibersdorf Research-Arsenal";"";"";"";"11.7";"0.6";"Seibersdorf Research-Arsenal";"300";
"IN70000007";"Sillian";"Sillian";"1075";"Mär 1999";"";"01.03.1999";"31.03.1999";"";"94";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"-15.22";"";"Seibersdorf Research-Arsenal";"";"";"";"7.3";"0.4";"Seibersdorf Research-Arsenal";"5";
"IN70000007";"Sillian";"Sillian";"1075";"Apr 1999";"";"01.04.1999";"30.04.1999";"";"62";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"-12.57";"";"Seibersdorf Research-Arsenal";"";"";"";"10.2";"0.5";"Seibersdorf Research-Arsenal";"5";
"IN70000007";"Sillian";"Sillian";"1075";"Mai 1999";"";"01.05.1999";"31.05.1999";"";"156";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"-8.23";"";"Seibersdorf Research-Arsenal";"";"";"";"13.6";"0.7";"Seibersdorf Research-Arsenal";"5";
"IN70000007";"Sillian";"Sillian";"1075";"Jun 1999";"";"01.06.1999";"30.06.1999";"";"99";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"-6.67";"";"Seibersdorf Research-Arsenal";"";"";"";"15.7";"0.8";"Seibersdorf Research-Arsenal";"5";
"IN70000007";"Sillian";"Sillian";"1075";"Jul 1999";"";"01.07.1999";"31.07.1999";"";"166";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"-6.87";"";"Seibersdorf Research-Arsenal";"";"";"";"17.8";"1";"Seibersdorf Research-Arsenal";"5";
"IN70000007";"Sillian";"Sillian";"1075";"Aug 1999";"";"01.08.1999";"31.08.1999";"";"166";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"-6";"";"Seibersdorf Research-Arsenal";"";"";"";"10.8";"0.7";"Seibersdorf Research-Arsenal";"5";
"IN70000007";"Sillian";"Sillian";"1075";"Sep 1999";"";"01.09.1999";"30.09.1999";"";"93";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"-7.39";"";"Seibersdorf Research-Arsenal";"";"";"";"6.1";"0.4";"Seibersdorf Research-Arsenal";"5";
"IN70000007";"Sillian";"Sillian";"1075";"Okt 1999";"";"01.10.1999";"31.10.1999";"";"44";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"-7.97";"";"Seibersdorf Research-Arsenal";"";"";"";"5.1";"0.3";"Seibersdorf Research-Arsenal";"5";
"IN70000007";"Sillian";"Sillian";"1075";"Nov 1999";"";"01.11.1999";"30.11.1999";"";"44";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"-18.56";"";"Seibersdorf Research-Arsenal";"";"";"";"7.1";"0.3";"Seibersdorf Research-Arsenal";"5";
"IN70000007";"Sillian";"Sillian";"1075";"Dez 1999";"";"01.12.1999";"31.12.1999";"";"50";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"-18.28";"";"Seibersdorf Research-Arsenal";"";"";"";"5.1";"0.3";"Seibersdorf Research-Arsenal";"5";
"IN70000007";"Sillian";"Sillian";"1075";"Jan 2000";"";"01.01.2000";"31.01.2000";"";"13";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"-12.33";"";"Seibersdorf Research-Arsenal";"";"";"";"5.7";"0.4";"Seibersdorf Research-Arsenal";"450";
"IN70000007";"Sillian";"Sillian";"1075";"Feb 2000";"";"01.02.2000";"29.02.2000";"";"7";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"-15.09";"";"Seibersdorf Research-Arsenal";"";"";"";"8.9";"0.7";"Seibersdorf Research-Arsenal";"750";
"IN70000007";"Sillian";"Sillian";"1075";"Mär 2000";"";"01.03.2000";"31.03.2000";"";"107";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"-14.32";"";"Seibersdorf Research-Arsenal";"";"";"";"7.2";"0.3";"Seibersdorf Research-Arsenal";"5";
"IN70000007";"Sillian";"Sillian";"1075";"Apr 2000";"";"01.04.2000";"30.04.2000";"";"80";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"-11.33";"";"Seibersdorf Research-Arsenal";"";"";"";"9.2";"0.5";"Seibersdorf Research-Arsenal";"5";
"IN70000007";"Sillian";"Sillian";"1075";"Mai 2000";"";"01.05.2000";"31.05.2000";"";"65";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"-5.95";"";"Seibersdorf Research-Arsenal";"";"";"";"12.9";"0.7";"Seibersdorf Research-Arsenal";"5";
"IN70000007";"Sillian";"Sillian";"1075";"Jun 2000";"";"01.06.2000";"30.06.2000";"";"96";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"-5.15";"";"Seibersdorf Research-Arsenal";"";"";"";"12.1";"0.7";"Seibersdorf Research-Arsenal";"5";
"IN70000007";"Sillian";"Sillian";"1075";"Jul 2000";"";"01.07.2000";"31.07.2000";"";"178";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"-6.19";"";"Seibersdorf Research-Arsenal";"";"";"";"10.7";"0.6";"Seibersdorf Research-Arsenal";"5";
"IN70000007";"Sillian";"Sillian";"1075";"Aug 2000";"";"01.08.2000";"31.08.2000";"";"123";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"";"";"";"";"";"";"10.1";"0.5";"Seibersdorf Research-Arsenal";"5";
"IN70000007";"Sillian";"Sillian";"1075";"Sep 2000";"";"01.09.2000";"30.09.2000";"";"125";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"-6.09";"";"Seibersdorf Research-Arsenal";"";"";"";"8.7";"0.4";"Seibersdorf Research-Arsenal";"5";
"IN70000007";"Sillian";"Sillian";"1075";"Okt 2000";"";"01.10.2000";"31.10.2000";"";"259";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"";"";"";"";"";"";"6.5";"0.3";"Seibersdorf Research-Arsenal";"5";
"IN70000007";"Sillian";"Sillian";"1075";"Nov 2000";"";"01.11.2000";"30.11.2000";"";"268";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"-12.41";"";"Seibersdorf Research-Arsenal";"";"";"";"4.1";"0.2";"Seibersdorf Research-Arsenal";"5";
"IN70000007";"Sillian";"Sillian";"1075";"Dez 2000";"";"01.12.2000";"31.12.2000";"";"46";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"-18.59";"";"Seibersdorf Research-Arsenal";"";"";"";"5";"0.3";"Seibersdorf Research-Arsenal";"5";
"IN70000007";"Sillian";"Sillian";"1075";"Jan 2001";"";"01.01.2001";"31.01.2001";"";"76";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"";"";"";"";"";"";"4.4";"0.2";"Seibersdorf Research-Arsenal";"5";
"IN70000007";"Sillian";"Sillian";"1075";"Feb 2001";"";"01.02.2001";"28.02.2001";"";"15";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"";"";"";"";"";"";"4.9";"0.2";"Seibersdorf Research-Arsenal";"10";
"IN70000007";"Sillian";"Sillian";"1075";"Mär 2001";"";"01.03.2001";"31.03.2001";"";"98";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"";"";"";"";"";"";"6.4";"0.3";"Seibersdorf Research-Arsenal";"5";
"IN70000007";"Sillian";"Sillian";"1075";"Apr 2001";"";"01.04.2001";"30.04.2001";"";"129";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"";"";"";"";"";"";"8.3";"0.5";"Seibersdorf Research-Arsenal";"10";
"IN70000007";"Sillian";"Sillian";"1075";"Mai 2001";"";"01.05.2001";"31.05.2001";"";"30";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"";"";"";"";"";"";"10";"0.6";"Seibersdorf Research-Arsenal";"5";
"IN70000007";"Sillian";"Sillian";"1075";"Jun 2001";"";"01.06.2001";"30.06.2001";"";"106";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"";"";"";"";"";"";"10.5";"0.5";"Seibersdorf Research-Arsenal";"15";
"IN70000007";"Sillian";"Sillian";"1075";"Jul 2001";"";"01.07.2001";"31.07.2001";"";"128";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"";"";"";"";"";"";"12.7";"0.7";"Seibersdorf Research-Arsenal";"5";
"IN70000007";"Sillian";"Sillian";"1075";"Aug 2001";"";"01.08.2001";"31.08.2001";"";"98";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"";"";"";"";"";"";"11.7";"0.6";"Seibersdorf Research-Arsenal";"10";
"IN70000007";"Sillian";"Sillian";"1075";"Sep 2001";"";"01.09.2001";"30.09.2001";"";"97";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"";"";"";"";"";"";"10.1";"0.6";"Seibersdorf Research-Arsenal";"5";
"IN70000007";"Sillian";"Sillian";"1075";"Okt 2001";"";"01.10.2001";"31.10.2001";"";"22";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"";"";"";"";"";"";"5.5";"0.3";"Seibersdorf Research-Arsenal";"60";
"IN70000007";"Sillian";"Sillian";"1075";"Nov 2001";"";"01.11.2001";"30.11.2001";"";"29";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"";"";"";"";"";"";"6.7";"0.3";"Seibersdorf Research-Arsenal";"10";
"IN70000007";"Sillian";"Sillian";"1075";"Feb 2002";"";"01.02.2002";"28.02.2002";"";"50";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"";"";"";"";"";"";"8";"0.4";"Seibersdorf Research-Arsenal";"5";
"IN70000007";"Sillian";"Sillian";"1075";"Mär 2002";"";"01.03.2002";"31.03.2002";"";"45";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"";"";"";"";"";"";"7.2";"0.3";"Seibersdorf Research-Arsenal";"5";
"IN70000007";"Sillian";"Sillian";"1075";"Apr 2002";"";"01.04.2002";"30.04.2002";"";"132";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"";"";"";"";"";"";"12.2";"0.5";"Seibersdorf Research-Arsenal";"0";
"IN70000007";"Sillian";"Sillian";"1075";"Mai 2002";"";"01.05.2002";"31.05.2002";"";"131";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"";"";"";"";"";"";"8.3";"0.5";"Seibersdorf Research-Arsenal";"5";
"IN70000007";"Sillian";"Sillian";"1075";"Jun 2002";"";"01.06.2002";"30.06.2002";"";"140";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"";"";"";"";"";"";"9.4";"0.6";"Seibersdorf Research-Arsenal";"10";
"IN70000007";"Sillian";"Sillian";"1075";"Jul 2002";"";"01.07.2002";"31.07.2002";"";"76";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"";"";"";"";"";"";"12.6";"0.7";"Seibersdorf Research-Arsenal";"5";
"IN70000007";"Sillian";"Sillian";"1075";"Aug 2002";"";"01.08.2002";"31.08.2002";"";"114";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"";"";"";"";"";"";"11.5";"0.6";"Seibersdorf Research-Arsenal";"0";
"IN70000007";"Sillian";"Sillian";"1075";"Sep 2002";"";"01.09.2002";"30.09.2002";"";"108";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"-13.41";"";"Seibersdorf Research-Arsenal";"";"";"";"10.2";"0.5";"Seibersdorf Research-Arsenal";"15";
"IN70000007";"Sillian";"Sillian";"1075";"Nov 2002";"";"01.11.2002";"30.11.2002";"";"316";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"";"";"";"";"";"";"3.3";"0.3";"Seibersdorf Research-Arsenal";"15";
"IN70000007";"Sillian";"Sillian";"1075";"Dez 2002";"";"01.12.2002";"31.12.2002";"";"64";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"";"";"";"";"";"";"4.7";"0.3";"Seibersdorf Research-Arsenal";"5";
"IN70000007";"Sillian";"Sillian";"1075";"Jan 2003";"";"01.01.2003";"31.01.2003";"";"";"";"";"";"";"";"";"";"";"-22.59";"";"Seibersdorf Research-Arsenal";"";"";"";"5.1";"0.3";"Seibersdorf Research-Arsenal";"10";
"IN70000007";"Sillian";"Sillian";"1075";"Jan 2007";"";"01.01.2007";"31.01.2007";"0";"71";"Hydrograph. Dienst";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IN70000007";"Sillian";"Sillian";"1075";"Feb 2007";"";"01.02.2007";"28.02.2007";"0";"30";"Hydrograph. Dienst";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IN70000007";"Sillian";"Sillian";"1075";"Mär 2007";"";"01.03.2007";"31.03.2007";"0";"92";"Hydrograph. Dienst";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IN70000007";"Sillian";"Sillian";"1075";"Apr 2007";"";"01.04.2007";"30.04.2007";"";"12";"Hydrograph. Dienst";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IN70000007";"Sillian";"Sillian";"1075";"Mai 2007";"";"01.05.2007";"31.05.2007";"";"84";"Hydrograph. Dienst";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IN70000007";"Sillian";"Sillian";"1075";"Jun 2007";"";"01.06.2007";"30.06.2007";"";"113";"Hydrograph. Dienst";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IN70000007";"Sillian";"Sillian";"1075";"Jul 2007";"";"01.07.2007";"31.07.2007";"";"146";"Hydrograph. Dienst";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IN70000007";"Sillian";"Sillian";"1075";"Aug 2007";"";"01.08.2007";"31.08.2007";"";"170";"Hydrograph. Dienst";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IN70000007";"Sillian";"Sillian";"1075";"Sep 2007";"";"01.09.2007";"30.09.2007";"0";"110";"Hydrograph. Dienst";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IN70000007";"Sillian";"Sillian";"1075";"Okt 2007";"70000007";"01.10.2007";"31.10.2007";"";"42";"Hydrograph. Dienst";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
